"Временска ознака","Pol:","Da li ste student?","Ukoliko ste student, koliko ESPB ste položili do sada?","Naziv fakulteta:","Koliko dugo se bavite programiranjem?","Koliko često učite nove programske jezike?","Da li ste upoznati sa konceptom programskih paradigmi?","U kom kontekstu ste učili novi programski jezik?","Koliko vam je bilo zahtevno prilagoditi se novom programskom jeziku:","Razumevanje sintakse:","Promena programske paradigme:","Razumevanje sistema tipova:","Alati i razvojno okruženje:","Biblioteke i ekosistem:","Kvalitet ili dostupnost dokumentacije:","U kojoj meri je vaše prethodno programsko iskustvo pomoglo pri učenju novog jezika:","Koje strategije ste koristili prilikom učenja novog jezika?","Koje strategija Vam se pokazala kao najefikasnija?","U kojoj meri smatrate da Vam je prethodno znanje iz drugih srodnih programskih jezika pomoglo pri učenju novog?","Koje osobine jezika najviše ubrzavaju proces učenja?","Koju biste strategiju ili savet preporučili studentima koji tek započinju učenje novog jezika?","Šta Vam najviše pomaže da se brže prilagodite novom programskom jeziku?","Komentar:"
"2025/12/17 6:10:15 PM CET","Muški","Da","181-240","Matematički fakultet ","Više od 4 godine","Često (više puta godišnje)","Da","Samostalno učenje;Projekat / praksa;Posao","1","1","1","1","1","2","3","5","Zvanična dokumentacija;Male samostalne vežbe;Rad na konkretnim projektima","Zvanična dokumentacija","5","Poznavanje odgovarajuće  programske paradigme;Kvalitetna dokumentacija","Programski jezik uopšte nije bitan, bitno je znanje algoritama i paradigmi","",""
"2025/12/17 6:10:48 PM CET","Muški","Da","241-300","Matf","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs","2","2","4","4","2","1","2","5","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Knjige i skripte","Online kursevi (Coursera, Udemy, YouTube…)","5","Poznavanje odgovarajuće  programske paradigme;Jednostavna sintaksa;Sličnost sa poznatim jezicima;Kvalitetna dokumentacija","","",""
"2025/12/17 6:11:10 PM CET","Ženski","Da","181-240","Fakultet organizacionih nauka","Više od 4 godine","Često (više puta godišnje)","Da","Fakultetski kurs;Projekat / praksa;Posao","2","1","4","1","1","2","4","5","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Rad na konkretnim projektima;Čitanje tuđeg koda","Rad na konkretnim projektima","5","Poznavanje odgovarajuće  programske paradigme;Jednostavna sintaksa;Sličnost sa poznatim jezicima","","",""
"2025/12/17 6:12:10 PM CET","Ženski","Da","181-240","Matematički fakultet","3-4 godine","Retko (jednom u nekoliko godina)","Ne","Fakultetski kurs;Samostalno učenje","3","3","4","2","2","2","3","5","Online kursevi (Coursera, Udemy, YouTube…);Male samostalne vežbe;Rad na konkretnim projektima;Čitanje tuđeg koda;Knjige i skripte","Rad na konkretnim projektima","5","Jednostavna sintaksa;Sličnost sa poznatim jezicima","Kucajte dok ucite","Vezba",""
"2025/12/17 6:12:50 PM CET","Ženski","Ne, završio/la sam osnovne studije","181-240","Matematički fakultet - Beograd","Više od 4 godine","Retko (jednom u nekoliko godina)","Da","Fakultetski kurs;Samostalno učenje","3","2","4","2","3","3","1","5","Online kursevi (Coursera, Udemy, YouTube…);Male samostalne vežbe","Male samostalne vežbe","5","Poznavanje odgovarajuće  programske paradigme;Jednostavna sintaksa;Sličnost sa poznatim jezicima","Krenite od osnova i problema koje ste vec pisali u nekom drugom jeziku kako biste se upoznali sa sintaksom i stekli samopouzdanje","Redovno vezbanje",""
"2025/12/17 6:14:12 PM CET","Muški","Da","61-120","Matematički fakultet ","Više od 4 godine","Povremeno (jednom godišnje)","Da","Samostalno učenje;Projekat / praksa","3","3","4","3","4","4","4","5","Male samostalne vežbe;Rad na konkretnim projektima","Rad na konkretnim projektima","5","Sličnost sa poznatim jezicima;Kvalitetna dokumentacija;Velika zajednica","","",""
"2025/12/17 6:14:14 PM CET","Muški","Ne, završio/la sam osnovne studije","181-240","","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Samostalno učenje;Projekat / praksa;Posao","3","2","4","5","3","3","1","5","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Pair programming / pomoć kolega","Pair programming / pomoć kolega","4","Poznavanje odgovarajuće  programske paradigme","","",""
"2025/12/17 6:14:29 PM CET","Ženski","Da","241-300","Matematicki fakultet","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Samostalno učenje;Projekat / praksa;Posao","2","3","3","3","3","3","3","5","Online kursevi (Coursera, Udemy, YouTube…);Rad na konkretnim projektima","Rad na konkretnim projektima","5","Poznavanje odgovarajuće  programske paradigme","","",""
"2025/12/17 6:14:39 PM CET","Muški","Ne, završio/la sam osnovne studije","","Racunarski fakultet","1-2 godine","Povremeno (jednom godišnje)","Da","Projekat / praksa","3","3","4","3","3","3","4","5","Online kursevi (Coursera, Udemy, YouTube…)","Online kursevi (Coursera, Udemy, YouTube…)","5","Sličnost sa poznatim jezicima","Temeljno ucenje od nule, bez preskakanja osnova","Slicnosti sa prethodnim",""
"2025/12/17 6:17:30 PM CET","Muški","Da","181-240","MATF","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Samostalno učenje;Projekat / praksa","2","1","1","1","2","2","1","5","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Male samostalne vežbe;Čitanje tuđeg koda;Knjige i skripte","Knjige i skripte","5","Poznavanje odgovarajuće  programske paradigme;Sličnost sa poznatim jezicima;Kvalitetna dokumentacija;Bogat ekosistem biblioteka","Docs 👍
Gtp 👎","Production level code za nesto sto vec znam kako funkcionise",""
"2025/12/17 6:21:03 PM CET","Ženski","Da","121-180","ФТН НС","Više od 4 godine","Često (više puta godišnje)","Da","Fakultetski kurs;Samostalno učenje","3","4","4","4","1","2","4","5","Online kursevi (Coursera, Udemy, YouTube…);Čitanje tuđeg koda;Pair programming / pomoć kolega;Knjige i skripte","Pair programming / pomoć kolega","5","Jednostavna sintaksa;Sličnost sa poznatim jezicima;Kvalitetna dokumentacija;Bogat ekosistem biblioteka","Вежба и само вежба и свакодневно макар по нешто да се пређе/обнови/дода","Добар стартни курс/туторијал и разговор са особама које су искусније од мене у том прог. језику","<3"
"2025/12/17 6:25:11 PM CET","Ženski","Da","121-180","Matematički","3-4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs","3","2","2","3","3","3","3","4","Male samostalne vežbe;Čitanje tuđeg koda;Knjige i skripte","Knjige i skripte","4","Sličnost sa poznatim jezicima;Kvalitetna dokumentacija","","",""
"2025/12/17 6:27:59 PM CET","Muški","Da","61-120","MATF","3-4 godine","Retko (jednom u nekoliko godina)","Da","Fakultetski kurs;Samostalno učenje","4","4","2","4","2","5","5","4","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Male samostalne vežbe;Čitanje tuđeg koda;Knjige i skripte","Male samostalne vežbe","5","Sličnost sa poznatim jezicima;Kvalitetna dokumentacija","","",""
"2025/12/17 6:29:39 PM CET","Muški","Da","121-180","ЕТФ","Više od 4 godine","Retko (jednom u nekoliko godina)","Ne","Fakultetski kurs;Samostalno učenje","3","2","4","4","2","3","1","4","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Knjige i skripte","Online kursevi (Coursera, Udemy, YouTube…)","4","Poznavanje odgovarajuće  programske paradigme;Jednostavna sintaksa;Sličnost sa poznatim jezicima","Nema strategije, svako ima različitu i različita mu odgovara. Za savet, uloži vreme i upornost.","Rutina",""
"2025/12/17 6:30:07 PM CET","Ženski","Da","181-240","Matematicki fakultet","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs","3","1","3","3","2","2","4","5","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Male samostalne vežbe;Čitanje tuđeg koda;Knjige i skripte","Knjige i skripte","5","Poznavanje odgovarajuće  programske paradigme;Jednostavna sintaksa;Sličnost sa poznatim jezicima;Kvalitetna dokumentacija;Bogat ekosistem biblioteka","Online dokumentaciju i kurseve","Dobro okruzenje, kao i slicna sintaksa sa nekim od poznatih jezika",""
"2025/12/17 6:33:36 PM CET","Ženski","Ne, završio/la sam osnovne studije","181-240","Matematički fakultet","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs","2","2","3","2","3","2","3","5","Online kursevi (Coursera, Udemy, YouTube…);Male samostalne vežbe;Rad na konkretnim projektima;Knjige i skripte","Rad na konkretnim projektima","5","Poznavanje odgovarajuće  programske paradigme;Jednostavna sintaksa;Sličnost sa poznatim jezicima","Kucanje poznatih zadataka novim jezikom","",""
"2025/12/17 6:34:51 PM CET","Muški","Da","181-240","Математички факултет Универзитета у Београду ","3-4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Samostalno učenje","2","3","4","2","5","5","3","5","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Male samostalne vežbe;Rad na konkretnim projektima;Čitanje tuđeg koda;Knjige i skripte","Knjige i skripte","5","Poznavanje odgovarajuće  programske paradigme;Sličnost sa poznatim jezicima;Kvalitetna dokumentacija","Pre svega bi bilo dobro da se upozna sa paradigmom jezika. Dakle šta zapravo jezik radi i kako je namenjen da se koristi. Nakon toga jedno učenje opšte dokumentacije, dakle jedan mali crash course u najčešćim konstrukcijama jezika. Nakon toga neka dobra knjiga/skripta sa primerima kako, koji bi mogli da se provežbaju. Na kraju jedan projekat (mada mislim da je to opciono i zavisi od drugih aspekata znanja programiranja). Valjalo bi isto da u toku čitavog procesa od crash course-a pa na dalje učenik u svakom trenutku radi neke sitne zadatke/primere da bi se uhodao u jezik (na primer algoritamski zadaci)","Za sam proces prilagođavanja, neki dobar crash course opštih jezičkih konstrukcija ispraćen sa dosta sitnih primera rada.","Mislim da je učenje konkretnog programskog jezika jako nezahvalna kategorija učenja programiranja. Čovek koji se posveti učenju jezika nakon savladavanja osnova shvata da ne može previše da uradi sa jezikom obzirom da nije upoznat sa drugim aspektima programiranja. Sa druge strane mora da učini taj prvi korak kroz učenje jezika tako da je malo Catch 22 situacija. Svakako, ako ne govorimo o apsolutnom početniku, učenje novog jezika je iz mog iskustva, stvar potrebe. Dakle, ne učimo jezik radi samog znanja istog, nego ga učimo zbog njegove paradigme/specifičnih problema koje rešava, te se čovek usmerava dalje na probleme a jezik samo prati i proširuje znanje po potrebi."
"2025/12/17 6:38:34 PM CET","Muški","Da","241-300","Matematicki fakultet ","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Samostalno učenje;Projekat / praksa;Takmičenje;Posao","1","1","4","1","4","1","1","5","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Rad na konkretnim projektima;Pair programming / pomoć kolega;Knjige i skripte","Pair programming / pomoć kolega","5","Poznavanje odgovarajuće  programske paradigme","","","Pesme Bobana Rajovića korisnije od zvanične dokumentacije!"
"2025/12/17 6:38:42 PM CET","Ženski","Da","181-240","Matematički fakultet ","3-4 godine","Često (više puta godišnje)","Da","Fakultetski kurs","3","2","3","4","5","4","2","5","Zvanična dokumentacija;Čitanje tuđeg koda;Pair programming / pomoć kolega;Knjige i skripte","Pair programming / pomoć kolega","4","Jednostavna sintaksa;Sličnost sa poznatim jezicima","","",""
"2025/12/17 6:39:04 PM CET","Muški","Da","181-240","Природно Математички факултет Крагујевац","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Samostalno učenje;Projekat / praksa","2","4","1","1","1","1","4","5","Online kursevi (Coursera, Udemy, YouTube…);Rad na konkretnim projektima;Čitanje tuđeg koda","Online kursevi (Coursera, Udemy, YouTube…)","5","Jednostavna sintaksa;Sličnost sa poznatim jezicima;Velika zajednica","Прво упознати концепте програмирања које језик покрива","Упоређивање синтаксе са сличним језиком",""
"2025/12/17 6:39:09 PM CET","Ne želim da se izjasnim","Ne, završio/la sam doktorske studije","Ne želim da se izjasnim","Nemoj da spamujes grupu retardu","Više od 4 godine","Često (više puta godišnje)","Ne","Samostalno učenje","1","1","2","3","3","3","3","2","Zvanična dokumentacija;Čitanje tuđeg koda","Online kursevi (Coursera, Udemy, YouTube…)","2","Poznavanje odgovarajuće  programske paradigme;Kvalitetna dokumentacija","dsada","dasdadasda","dsadas"
"2025/12/17 6:39:45 PM CET","Ženski","Da","121-180","Matematički fakultet","3-4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs","2","1","4","1","1","2","2","5","Online kursevi (Coursera, Udemy, YouTube…);Pair programming / pomoć kolega;Knjige i skripte","Knjige i skripte","5","Jednostavna sintaksa;Sličnost sa poznatim jezicima","","",""
"2025/12/17 6:40:32 PM CET","Muški","Da","181-240","Matematički fakultet","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Samostalno učenje;Takmičenje","2","1","4","3","4","2","2","5","Zvanična dokumentacija;Male samostalne vežbe;Rad na konkretnim projektima;Knjige i skripte","Zvanična dokumentacija","5","Poznavanje odgovarajuće  programske paradigme;Sličnost sa poznatim jezicima;Kvalitetna dokumentacija;Velika zajednica","Da ne kopiraju ono što bi uradili u drugim programskim jezicima, već da nauče idiomatske načine da nešto urade u tom jeziku","Pravljenje projekta u tom jeziku",""
"2025/12/17 6:41:09 PM CET","Ženski","Da","0-60","Matematicki ","1-2 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Samostalno učenje","3","2","2","2","2","2","4","1","Online kursevi (Coursera, Udemy, YouTube…);Male samostalne vežbe;Knjige i skripte","Male samostalne vežbe","4","Kvalitetna dokumentacija","","",""
"2025/12/17 6:41:27 PM CET","Ženski","Da","61-120","Matematicki fakultet","1-2 godine","Retko (jednom u nekoliko godina)","Ne","Fakultetski kurs;Takmičenje","2","3","3","3","3","2","2","4","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Čitanje tuđeg koda;Pair programming / pomoć kolega","Čitanje tuđeg koda","4","Jednostavna sintaksa;Kvalitetna dokumentacija","Upoznavanje sa osnovama jezika i sintaksom.","Vežba i aktivno korišćenje",""
"2025/12/17 6:42:10 PM CET","Ženski","Da","61-120","Matf","1-2 godine","Često (više puta godišnje)","Ne","Fakultetski kurs","3","2","3","2","5","3","2","4","Online kursevi (Coursera, Udemy, YouTube…);Male samostalne vežbe;Čitanje tuđeg koda;Knjige i skripte","Male samostalne vežbe","4","Poznavanje odgovarajuće  programske paradigme;Sličnost sa poznatim jezicima","","",""
"2025/12/17 6:42:24 PM CET","Muški","Da","0-60","Matematički fakultet","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Samostalno učenje;Takmičenje","2","1","3","3","4","2","2","5","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Čitanje tuđeg koda;Knjige i skripte","Online kursevi (Coursera, Udemy, YouTube…)","5","Poznavanje odgovarajuće  programske paradigme;Velika zajednica","Što pre se bacite na kodiranje konkretnih celina.","Svakodnevni rad, pa makar trajao 15 minuta",""
"2025/12/17 6:42:41 PM CET","Ženski","Da","0-60","Matematicki fakultet","3-4 godine","Često (više puta godišnje)","Da","Fakultetski kurs","3","2","3","2","3","4","3","3","Zvanična dokumentacija;Male samostalne vežbe;Čitanje tuđeg koda;Pair programming / pomoć kolega;Knjige i skripte","Male samostalne vežbe","2","Poznavanje odgovarajuće  programske paradigme;Jednostavna sintaksa","","",""
"2025/12/17 6:42:56 PM CET","Ženski","Da","61-120","Matematički","3-4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs","3","2","3","2","3","3","4","5","Zvanična dokumentacija;Čitanje tuđeg koda;Pair programming / pomoć kolega;Knjige i skripte","Pair programming / pomoć kolega","5","Poznavanje odgovarajuće  programske paradigme;Jednostavna sintaksa;Sličnost sa poznatim jezicima;Kvalitetna dokumentacija;Velika zajednica;Bogat ekosistem biblioteka","","",""
"2025/12/17 6:43:41 PM CET","Ženski","Da","181-240","Matf","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Takmičenje","3","3","3","3","3","3","3","3","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Male samostalne vežbe;Rad na konkretnim projektima;Pair programming / pomoć kolega;Knjige i skripte","Rad na konkretnim projektima","5","Poznavanje odgovarajuće  programske paradigme;Jednostavna sintaksa;Sličnost sa poznatim jezicima;Kvalitetna dokumentacija;Velika zajednica;Bogat ekosistem biblioteka","","",""
"2025/12/17 6:43:54 PM CET","Ženski","Da","181-240","Matematički fakultet ","Više od 4 godine","Često (više puta godišnje)","Da","Fakultetski kurs;Projekat / praksa","1","1","1","1","2","2","3","5","Rad na konkretnim projektima","Rad na konkretnim projektima","5","Poznavanje odgovarajuće  programske paradigme","Najbitnije da razumeju paradigmu da bi im bilo lakše posle da se prilagode bilo kom jeziku iz te paradigme.","Poznavanje paradigme",""
"2025/12/17 6:45:03 PM CET","Ženski","Da","241-300","Matematički fakultet","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Projekat / praksa","2","1","4","1","2","3","1","5","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Pair programming / pomoć kolega;Knjige i skripte","Knjige i skripte","5","Poznavanje odgovarajuće  programske paradigme;Jednostavna sintaksa;Sličnost sa poznatim jezicima;Kvalitetna dokumentacija;Velika zajednica","","Učestala upotreba ","Kvalitetan upitnik. Samo postoji sitna greška na drugoj strani sa pitanjima. Na jednom pitanju je i 1 i 5 ""nije bilo teško""(ili nešto slično)"
"2025/12/17 6:48:46 PM CET","Ženski","Da","61-120","Matematički fakultet","3-4 godine","Često (više puta godišnje)","Da","Fakultetski kurs","2","2","3","1","4","3","4","5","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Male samostalne vežbe;Čitanje tuđeg koda;Knjige i skripte","Male samostalne vežbe","5","Poznavanje odgovarajuće  programske paradigme;Sličnost sa poznatim jezicima","Samo se bacite na posao i kliknuće u nekom trenutku","Da kucam, debugujem i plačem ",""
"2025/12/17 6:50:45 PM CET","Muški","Da","181-240","Matf","Više od 4 godine","Često (više puta godišnje)","Da","Fakultetski kurs;Projekat / praksa","2","2","1","2","4","2","4","4","Zvanična dokumentacija;Rad na konkretnim projektima;Knjige i skripte","Rad na konkretnim projektima","4","Poznavanje odgovarajuće  programske paradigme;Jednostavna sintaksa;Sličnost sa poznatim jezicima","Da krenu da kucaju","Kucanje koda",""
"2025/12/17 6:50:49 PM CET","Muški","Da","0-60","Matf","Više od 4 godine","Retko (jednom u nekoliko godina)","Da","Samostalno učenje","2","1","2","1","3","2","1","5","Zvanična dokumentacija;Male samostalne vežbe;Rad na konkretnim projektima;Čitanje tuđeg koda;Knjige i skripte","Male samostalne vežbe","5","Poznavanje odgovarajuće  programske paradigme;Kvalitetna dokumentacija;Velika zajednica","Da mnogo uce teoriju i mnogo kucaju koda","Teorijska osnova i primeri slucajeva gde je prirodno koristiti bas taj jezik",""
"2025/12/17 6:57:18 PM CET","Muški","Da","241-300","MATF","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Samostalno učenje;Projekat / praksa","2","3","3","1","2","1","3","5","Zvanična dokumentacija;Male samostalne vežbe;Rad na konkretnim projektima","Rad na konkretnim projektima","5","Poznavanje odgovarajuće  programske paradigme;Jednostavna sintaksa;Sličnost sa poznatim jezicima;Kvalitetna dokumentacija;Bogat ekosistem biblioteka","","",""
"2025/12/17 6:57:29 PM CET","Ženski","Da","121-180","","Više od 4 godine","Često (više puta godišnje)","Da","Fakultetski kurs","1","2","1","1","3","3","1","5","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…)","Online kursevi (Coursera, Udemy, YouTube…)","4","Sličnost sa poznatim jezicima","","",""
"2025/12/17 6:59:44 PM CET","Muški","Da","Ne želim da se izjasnim","","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Samostalno učenje","2","2","4","3","2","2","4","3","Online kursevi (Coursera, Udemy, YouTube…);Male samostalne vežbe;Pair programming / pomoć kolega","Online kursevi (Coursera, Udemy, YouTube…)","4","Jednostavna sintaksa","","",""
"2025/12/17 7:01:27 PM CET","Muški","Da","121-180","FTN NS","Više od 4 godine","Povremeno (jednom godišnje)","Ne","Fakultetski kurs;Samostalno učenje","2","1","3","2","2","2","4","5","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Rad na konkretnim projektima","Rad na konkretnim projektima","5","Jednostavna sintaksa;Sličnost sa poznatim jezicima;Kvalitetna dokumentacija","Izrada konkretnog projekta","Izrada konkretnog projekta",""
"2025/12/17 7:01:48 PM CET","Ženski","Da","181-240","Matematicki fakultet","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Projekat / praksa","2","2","4","2","3","4","3","5","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Čitanje tuđeg koda;Knjige i skripte","Čitanje tuđeg koda","5","Poznavanje odgovarajuće  programske paradigme;Sličnost sa poznatim jezicima;Bogat ekosistem biblioteka","Da se vise fokusiraju na paradigmu i sustinu nego sintaksu","Razumevanje sustine jezika",""
"2025/12/17 7:06:38 PM CET","Ženski","Da","181-240","Matf","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Projekat / praksa;","3","2","3","3","3","3","5","3","Online kursevi (Coursera, Udemy, YouTube…);Rad na konkretnim projektima;Čitanje tuđeg koda;Pair programming / pomoć kolega;Knjige i skripte","Pair programming / pomoć kolega","5","Jednostavna sintaksa;Sličnost sa poznatim jezicima;Velika zajednica","","",""
"2025/12/17 7:07:56 PM CET","Ne želim da se izjasnim","Da","121-180","Matematicki fakultet ","Više od 4 godine","Često (više puta godišnje)","Da","Fakultetski kurs;Samostalno učenje;Projekat / praksa","2","2","2","2","4","3","4","5","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Male samostalne vežbe;Čitanje tuđeg koda;Pair programming / pomoć kolega;Knjige i skripte","Pair programming / pomoć kolega","5","Poznavanje odgovarajuće  programske paradigme;Kvalitetna dokumentacija;Velika zajednica","Dati sebi vremena. Sporo steći znanje programskih jezika koji se čine kompleksnijim je bolje na duge staze, stiču se dobre navike u startu. Onda će i jezici sa lakšom sintaksom biti razumljivi i naučljivi, pre nego obratno.","Teorija o toj paradigmi, vežbanje.",""
"2025/12/17 7:08:37 PM CET","Muški","Da","0-60","Matematički fakultet ","1-2 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs","3","2","2","3","4","3","2","4","Zvanična dokumentacija;Čitanje tuđeg koda;Knjige i skripte","Knjige i skripte","4","Sličnost sa poznatim jezicima;Kvalitetna dokumentacija","","",""
